vx,vy,vz,rmse_xy,rmse_threshold
0,0,0,0.016639557,0.05
0,0,0,0.011074821,0.05
0,0,0,0.01355538,0.05
0,0,0,0.013929299,0.05
0,0,0,0.008799243,0.05
0,0,0,0.011714832,0.05
0,0,0,0.012966217,0.05
0,0,0,0.012918141,0.05
0,0,0,0.011647215,0.05
0,0,0,0.019532282,0.05
0,0,0,0.012342864,0.05
0,0,0,0.010843553,0.05
0,0,0,0.008029434,0.05
0,0,0,0.016674022,0.05
0,0,0,0.01572517,0.05
0,0,0,0.015312677,0.05
0,0,0,0.010811315,0.05
0,0,0,0.009069083,0.05
0,0,0,0.009911011,0.05
0,0,0,0.009895079,0.05
0,0,0,0.016360774,0.05
0,0,0,0.016483024,0.05
0,0,0,0.010775949,0.05
0,0,0,0.012038117,0.05
0,0,0,0.015857674,0.05
0,0,0,0.011032225,0.05
0,0,0,0.01145617,0.05
0,0,0,0.009837065,0.05
0,0,0,0.019806848,0.05
0,0,0,0.01448702,0.05
0,0,0,0.015346405,0.05
0,0,0,0.016444276,0.05
0,0,0,0.010988839,0.05
0,0,0,0.007051547,0.05
0,0,0,0.013660996,0.05
0,0,0,0.011369502,0.05
0,0,0,0.012237238,0.05
0,0,0,0.013713245,0.05
0,0,0,0.010041157,0.05
0,0,0,0.011618243,0.05
0,0,0,0.012485411,0.05
0,0,0,0.01624557,0.05
0,0,0,0.01404644,0.05
0,0,0,0.013879529,0.05
0,0,0,0.012781804,0.05
0,0,0,0.015216097,0.05
0,0,0,0.013887089,0.05
0,0,0,0.012426559,0.05
0,0,0,0.018020224,0.05
0,0,0,0.017224057,0.05
0,0,0,0.017597177,0.05
0,0,0,0.012544599,0.05
0,0,0,0.01389655,0.05
0,0,0,0.012571631,0.05
0,0,0,0.013659827,0.05
0,0,0,0.009840155,0.05
0,0,0,0.010418242,0.05
0,0,0,0.014351398,0.05
0,0,0,0.011644857,0.05
0,0,0,0.010717059,0.05
0,0,0,0.017961681,0.05
0,0,0,0.013952398,0.05
0,0,0,0.012668379,0.05
0,0,0,0.015378337,0.05
0,0,0,0.010556373,0.05
0,0,0,0.012072975,0.05
0,0,0,0.008079111,0.05
0,0,0,0.010817597,0.05
0,0,0,0.011487536,0.05
0,0,0,0.010382967,0.05
0,0,0,0.007714941,0.05
0,0,0,0.015967238,0.05
0,0,0,0.010106112,0.05
0,0,0,0.012687806,0.05
0,0,0,0.013589209,0.05
0,0,0,0.012608422,0.05
0,0,0,0.011142217,0.05
0,0,0,0.011142217,0.05
0,0,0,0.016359127,0.05
0,0,0,0.016428368,0.05
0,0,0,0.013606792,0.05
0,0,0,0.013691745,0.05
0,0,0,0.01202521,0.05
0,0,0,0.011120659,0.05
0,0,0,0.012503895,0.05
0,0,0,0.011450357,0.05
0,0,0,0.012264719,0.05
0,0,0,0.012071228,0.05
0,0,0,0.010921576,0.05
0,0,0,0.007978482,0.05
0,0,0,0.01343659,0.05
0,0,0,0.012146765,0.05
0,0,0,0.010463828,0.05
0,0,0,0.009593059,0.05
0,0,0,0.013566668,0.05
0,0,0,0.014933981,0.05
0,0,0,0.012471834,0.05
0,0,0,0.014259754,0.05
0,0,0,0.011036117,0.05
0,0,0,0.015197007,0.05
0,0,0,0.010204274,0.05
0,0,0,0.018651158,0.05
0,0,0,0.01471385,0.05
0,0,0,0.011203581,0.05
0,0,0,0.011676668,0.05
0,0,0,0.017198497,0.05
0,0,0,0.014852249,0.05
0,0,0,0.012016765,0.05
0,0,0,0.010187692,0.05
0,0,0,0.017604615,0.05
0,0,0,0.010930653,0.05
0,0,0,0.01031723,0.05
0,0,0,0.012010751,0.05
0,0,0,0.013971831,0.05
0,0,0,0.013404559,0.05
0,0,0,0.012626548,0.05
0,0,0,0.009395144,0.05
0,0,0,0.013583765,0.05
0,0,0,0.010993078,0.05
0,0,0,0.013651897,0.05
0,0,0,0.010061696,0.05
0,0,0,0.010884141,0.05
0,0,0,0.012428718,0.05
0,0,0,0.009709895,0.05
0,0,0,0.009871957,0.05
0,0,0,0.015554327,0.05
0,0,0,0.011768878,0.05
0,0,0,0.008422083,0.05
0,0,0,0.013345162,0.05
0,0,0,0.009893618,0.05
0,0,0,0.011650101,0.05
0,0,0,0.016347794,0.05
0,0,0,0.006171287,0.05
0,0,0,0.012754167,0.05
0,0,0,0.014340826,0.05
0,0,0,0.017294145,0.05
0,0,0,0.012525186,0.05
0,0,0,0.013399574,0.05
0,0,0,0.015637541,0.05
0,0,0,0.010322487,0.05
0,0,0,0.010472132,0.05
0,0,0,0.013524731,0.05
0,0,0,0.013297602,0.05
0,0,0,0.015586219,0.05
0,0,0,0.013588686,0.05
0,0,0,0.00789351,0.05
0,0,0,0.006762292,0.05
0,0,0,0.013979154,0.05
0,0,0,0.011409763,0.05
0,0,0,0.008728705,0.05
0,0,0,0.017738709,0.05
0,0,0,0.009977824,0.05
0,0,0,0.013499666,0.05
0,0,0,0.012805771,0.05
0,0,0,0.011443978,0.05
0,0,0,0.0080533,0.05
0,0,0,0.009936241,0.05
0,0,0,0.011608493,0.05
0,0,0,0.014029957,0.05
0,0,0,0.009983221,0.05
0,0,0,0.011965688,0.05
0,0,0,0.012134221,0.05
0,0,0,0.012285866,0.05
0,0,0,0.015475549,0.05
0,0,0,0.016545155,0.05
0,0,0,0.01256954,0.05
0,0,0,0.012696876,0.05
0,0,0,0.016305173,0.05
0,0,0,0.007176774,0.05
0,0,0,0.016555676,0.05
0,0,0,0.011731751,0.05
0,0,0,0.010093292,0.05
0,0,0,0.014660407,0.05
0,0,0,0.014505639,0.05
0,0,0,0.007567508,0.05
0,0,0,0.010356221,0.05
0,0,0,0.008970892,0.05
0,0,0,0.012808625,0.05
0,0,0,0.010891217,0.05
0,0,0,0.014286777,0.05
0,0,0,0.009625582,0.05
0,0,0,0.016528894,0.05
0,0,0,0.01245505,0.05
0,0,0,0.01543478,0.05
0,0,0,0.01110433,0.05
0,0,0,0.01044587,0.05
0,0,0,0.01701575,0.05
0,0,0,0.013632544,0.05
0,0,0,0.013759855,0.05
0,0,0,0.007524029,0.05
0,0,0,0.010580509,0.05
0,0,0,0.01458083,0.05
0,0,0,0.013033349,0.05
0,0,0,0.013640307,0.05
0,0,0,0.014002653,0.05
0,0,0,0.015817905,0.05
0,0,0,0.01566064,0.05
0,0,0,0.009209333,0.05
